0,rpm,0.09
0,vool,17.04
0,pinge,13.99
0,temp,14.99
0,gps,38.04
1,rpm,0.01
1,vool,17.04
1,pinge,13.99
1,temp,14.98
1,gps,36.95
2,rpm,0.03
2,vool,17.07
2,pinge,14.01
2,temp,14.98
2,gps,37.85
3,rpm,0.04
3,vool,17.08
3,pinge,13.99
3,temp,14.94
3,gps,38.23
4,rpm,0.03
4,vool,17.06
4,pinge,14.01
4,temp,14.97
4,gps,38.48
5,rpm,0.08
5,vool,17.1
5,pinge,13.99
5,temp,14.93
5,gps,37.32
6,rpm,0.08
6,vool,17.07
6,pinge,13.98
6,temp,14.97
6,gps,36.41
7,rpm,0.08
7,vool,17.06
7,pinge,14.02
7,temp,14.96
7,gps,34.82
8,rpm,0.04
8,vool,17.04
8,pinge,14.05
8,temp,14.99
8,gps,33.19
9,rpm,0.02
9,vool,17.07
9,pinge,14.03
9,temp,15.03
9,gps,30.31
10,rpm,0.03
10,vool,17.04
10,pinge,14.04
10,temp,15.0
10,gps,29.4
11,rpm,0.03
11,vool,17.05
11,pinge,14.0
11,temp,15.03
11,gps,30.83
12,rpm,0.07
12,vool,17.07
12,pinge,14.0
12,temp,15.07
12,gps,29.16
13,rpm,0.17
13,vool,17.07
13,pinge,14.01
13,temp,15.03
13,gps,27.29
14,rpm,0.24
14,vool,17.11
14,pinge,13.99
14,temp,15.03
14,gps,26.9
15,rpm,0.32
15,vool,17.11
15,pinge,13.99
15,temp,15.08
15,gps,27.43
16,rpm,0.28
16,vool,17.15
16,pinge,13.95
16,temp,15.08
16,gps,26.42
17,rpm,0.26
17,vool,17.14
17,pinge,13.91
17,temp,15.05
17,gps,23.51
18,rpm,0.21
18,vool,17.1
18,pinge,13.87
18,temp,15.04
18,gps,21.52
19,rpm,0.13
19,vool,17.05
19,pinge,13.86
19,temp,15.05
19,gps,19.66
20,rpm,0.07
20,vool,17.08
20,pinge,13.89
20,temp,15.06
20,gps,19.34
21,rpm,0.07
21,vool,17.11
21,pinge,13.84
21,temp,15.09
21,gps,18.83
22,rpm,0.1
22,vool,17.07
22,pinge,13.85
22,temp,15.06
22,gps,21.78
23,rpm,0.1
23,vool,17.11
23,pinge,13.83
23,temp,15.09
23,gps,19.69
24,rpm,0.12
24,vool,17.12
24,pinge,13.78
24,temp,15.09
24,gps,21.06
25,rpm,0.09
25,vool,17.08
25,pinge,13.8
25,temp,15.07
25,gps,21.85
26,rpm,0.2
26,vool,17.13
26,pinge,13.85
26,temp,15.07
26,gps,18.96
27,rpm,0.31
27,vool,17.13
27,pinge,13.86
27,temp,15.03
27,gps,21.77
28,rpm,0.41
28,vool,17.11
28,pinge,13.89
28,temp,15.04
28,gps,22.62
29,rpm,0.46
29,vool,17.16
29,pinge,13.94
29,temp,15.02
29,gps,23.96
30,rpm,0.39
30,vool,17.16
30,pinge,13.99
30,temp,15.07
30,gps,24.77
31,rpm,0.3
31,vool,17.12
31,pinge,13.99
31,temp,15.04
31,gps,23.11
32,rpm,0.3
32,vool,17.16
32,pinge,13.99
32,temp,15.07
32,gps,22.77
33,rpm,0.32
33,vool,17.15
33,pinge,13.96
33,temp,15.07
33,gps,21.31
34,rpm,0.29
34,vool,17.14
34,pinge,13.99
34,temp,15.03
34,gps,19.28
35,rpm,0.22
35,vool,17.19
35,pinge,14.01
35,temp,15.07
35,gps,17.33
36,rpm,0.31
36,vool,17.2
36,pinge,14.06
36,temp,15.11
36,gps,19.37
37,rpm,0.41
37,vool,17.18
37,pinge,14.05
37,temp,15.12
37,gps,22.24
38,rpm,0.32
38,vool,17.15
38,pinge,14.02
38,temp,15.1
38,gps,22.81
39,rpm,0.35
39,vool,17.17
39,pinge,14.02
39,temp,15.11
39,gps,23.27
40,rpm,0.33
40,vool,17.16
40,pinge,13.99
40,temp,15.13
40,gps,25.19
41,rpm,0.4
41,vool,17.2
41,pinge,13.96
41,temp,15.1
41,gps,26.92
42,rpm,0.33
42,vool,17.18
42,pinge,13.95
42,temp,15.05
42,gps,25.23
43,rpm,0.25
43,vool,17.14
43,pinge,13.9
43,temp,15.0
43,gps,27.6
44,rpm,0.31
44,vool,17.12
